Recensement agricole 2020; ; 
Référentiel géographique : France  par Commune 2020; ; 
Code;Libellé;SAU moyenne en 2020;SAU moyenne en 2020 - estimation (*=oui)
02011;Ambleny;187.7;
02012;Ambrief;203;
02013;Amifontaine;147.7;
02014;Amigny-Rouy;61.3;
02015;Ancienville;N/A - division par 0;
02016;Andelain;155;
02017;Anguilcourt-le-Sart;122;
02018;Anizy-le-Grand;139.1;
02019;Annois;109.1;
02020;Any-Martin-Rieux;112.4;
02021;Archon;111;
02022;Arcy-Sainte-Restitue;224.3;
02023;Armentières-sur-Ourcq;61.5;
02024;Arrancy;220.7;
02025;Artemps;213.1;
02027;Assis-sur-Serre;94.2;
02028;Athies-sous-Laon;204.1;
02029;Attilly;108.3;
02030;Aubencheul-aux-Bois;141.4;
02031;Aubenton;74.6;
02032;Aubigny-aux-Kaisnes;226.5;
02033;Aubigny-en-Laonnois;95.3;
02034;Audignicourt;117.8;
02035;Audigny;145.2;
02036;Augy;136.8;
02037;Aulnois-sous-Laon;228.2;
02038;Les Autels;56.1;
02039;Autremencourt;270.3;
02040;Autreppes;164.2;
02041;Autreville;116.2;
02042;Azy-sur-Marne;3.8;
02043;Bagneux;49;
02044;Bancigny;61.5;
02046;Barenton-Bugny;195.6;
02047;Barenton-Cel;250.5;
02048;Barenton-sur-Serre;143.8;
02049;Barisis-aux-Bois;106.1;
02050;Barzy-en-Thiérache;35.9;
02051;Barzy-sur-Marne;4.6;
02052;Bassoles-Aulers;303.3;
02053;Vallées en Champagne;47.9;
02054;Bazoches-sur-Vesles;162;
02055;Beaumé;70.1;
02056;Beaumont-en-Beine;94;
02057;Beaurevoir;144.4;
02058;Beaurieux;147.5;
02059;Beautor;N/A - division par 0;
02060;Beauvois-en-Vermandois;134.1;
02061;Becquigny;62.4;
02062;Belleau;192.1;
02063;Bellenglise;212.1;
02064;Belleu;183.2;
02065;Bellicourt;198.1;
02066;Benay;154;
02067;Bergues-sur-Sambre;67.9;
02068;Berlancourt;220.4;
02069;Berlise;179.4;
02070;Bernot;86.1;
02071;Berny-Rivière;104.4;
02072;Berrieux;120;
02073;Berry-au-Bac;95;
02074;Bertaucourt-Epourdon;171;
02075;Berthenicourt;384.5;
02076;Bertricourt;104.7;
02077;Berzy-le-Sec;112.3;
02078;Besmé;47.1;
02079;Besmont;72.3;
